bar,beer,date,startquantity,endquantity
"Foamy Cave","Caldera Ginger Beer",2018-10-25,152,152
"Perfect Rabbit Tavern","Kirner Pils Premium",2018-10-25,232,232
"Jealous Fiddle Pub","The Highland Stagger",2018-10-25,183,183
"Armed Pudding Bar","Hibiscus Ginger Beer",2018-10-25,160,160
"Outrageous Sailboat Inn","Old Growth Imperial Stout",2018-10-25,228,228
"Quickest Doves","Schinderhannes Bock",2018-10-25,232,232
"Teeny Gauntlet Bar","Caldera IPA",2018-10-25,183,183
"Scary Kiwi","Caldera Ginger Beer",2018-10-25,189,189
"Admiral Benbow Inn","Caldera IPA",2018-10-25,203,203
"Courageous Lyre Bar","Caldera Pilsener Bier",2018-10-25,234,234
"Little Elixir Club","Hopportunity Knocks",2018-10-25,228,228
"Venomous River Inn","Newark IPA",2018-10-25,235,235
"Wretched Grape Inn","Amstel Oud Bruin",2018-10-25,232,232
"Oceanic Knight Inn","Blue Whale Ale",2018-10-25,130,130
"Iron Turkey","Red Moon",2018-10-25,129,129
"Natural Leopard","Leviathan Imperial Stout",2018-10-25,201,201
"Hot Cup Inn","Telford Porter",2018-10-25,153,153
"Sweet And Sour Castle Bar","Yellowjacket Ale",2018-10-25,214,214
"Incredible Sailboat Pub","Vas Deferens Ale",2018-10-25,156,156
"Steel Elf","Honey Fayre",2018-10-25,178,178
"Brave Olive Pub","Welsh Pride",2018-10-25,185,185
"Dizzy Lemon Lounge","Hibiscus Ginger Beer",2018-10-25,181,181
"Lying Explorer Tavern","Amstel Lentebock",2018-10-25,234,234
"Proud Spiders","Orca Porter",2018-10-25,165,165
"Earthy Bird Pub","Pacific Pilsner",2018-10-25,230,230
"Awful Salmon Bar","Imperial Stout",2018-10-25,161,161
"Nifty Branch Inn","Columbus India Pale Ale",2018-10-25,211,211
"Hidden Table Brewpub","Swamp Fox IPA",2018-10-25,206,206
"Ruthless Chestnut","Black Horse Black Beer",2018-10-25,231,231
"Dandy Cloud Bistro","Imperial Stout",2018-10-25,158,158
"Twelve Spider Inn","Caldera IPA",2018-10-25,177,177
"Deep Lantern","Amstel Malt",2018-10-25,182,182
"Gray City","Amstel Lager",2018-10-25,180,180
"Needy Mind Tavern","Holiday Imperial",2018-10-25,211,211
"Smelly Crane Tavern","Celebration Ale",2018-10-25,159,159
"Perfect Rabbit Tavern","St. Stephen's Bock",2018-10-25,208,208
"Fascinated Chick Pub","Amstel Malt",2018-10-25,162,162
"Chubby Badger Pub","Lawnmower Lager",2018-10-25,205,205
"Rich Tauren Bar","Holiday Ale",2018-10-25,176,176
"Spicy Cats Tavern","Telford Porter",2018-10-25,161,161
"Hypnotic Gate Tavern","Grey Whale Ale",2018-10-25,211,211
"Foamy Cave","Inspiration Ale",2018-10-25,136,136
"Armed Pudding Bar","Dry Hop Orange",2018-10-25,163,163
"Teeny Gauntlet Bar","Caldera Pale Ale",2018-10-25,132,132
"Jealous Fiddle Pub","Caldera Oatmeal Stout",2018-10-25,134,134
"Rainy Lime Tavern","The Highland Stagger",2018-10-25,185,185
"Outrageous Sailboat Inn","Southside Strong",2018-10-25,136,136
"Admiral Benbow Inn","Orca Porter",2018-10-25,230,230
"Scary Kiwi","Ashland Amber",2018-10-25,130,130
"Little Elixir Club","Amstel Lager",2018-10-25,134,134
"Courageous Lyre Bar","The Highland Stagger",2018-10-25,204,204
"Wretched Grape Inn",Megalodon,2018-10-25,211,211
"Interesting Trumpet Inn","Caldera Pale Ale",2018-10-25,208,208
"Steel Elf","St. Stephen's Bock",2018-10-25,180,180
"Natural Leopard","Yellowjacket Ale",2018-10-25,157,157
"Sweet And Sour Castle Bar","Old Oakland Ale",2018-10-25,203,203
"Venomous River Inn","North Beach Ale",2018-10-25,155,155
"Iron Turkey","Deviator Doppelbock",2018-10-25,210,210
"Oceanic Knight Inn","Amstel Gold",2018-10-25,210,210
"Hot Cup Inn","Holiday Imperial",2018-10-25,179,179
"Brave Olive Pub","Welsh Honey Bitter",2018-10-25,135,135
"Dizzy Lemon Lounge","Schinderhannes Bock",2018-10-25,233,233
"Lying Explorer Tavern","Deviator Doppelbock",2018-10-25,207,207
"Proud Spiders","Exotic Erotic Passion Fruit Ale",2018-10-25,236,236
"Awful Salmon Bar","Black Horse Black Beer",2018-10-25,153,153
"Nifty Branch Inn","Imperial Stout",2018-10-25,128,128
"Hidden Table Brewpub","Old Oakland Ale",2018-10-25,179,179
"Ruthless Chestnut","Vas Deferens Ale",2018-10-25,181,181
"Earthy Bird Pub","Lawnmower Lager",2018-10-25,183,183
"Dandy Cloud Bistro","Amstel Malt",2018-10-25,131,131
"Smelly Crane Tavern","Orca Porter",2018-10-25,156,156
"Deep Lantern","Newark IPA",2018-10-25,155,155
"Twelve Spider Inn","Hibiscus Ginger Beer",2018-10-25,206,206
"Perfect Rabbit Tavern","Amstel Lentebock",2018-10-25,231,231
"Needy Mind Tavern","Exotic Erotic Passion Fruit Ale",2018-10-25,163,163
"Fascinated Chick Pub","Old Oakland Ale",2018-10-25,237,237
"Gray City","Grey Whale Ale",2018-10-25,152,152
"Chubby Badger Pub","Blue Whale Ale",2018-10-25,134,134
"Rich Tauren Bar","Code Blue",2018-10-25,182,182
"Spicy Cats Tavern","Amstel Gold",2018-10-25,229,229
"Armed Pudding Bar","Celebration Ale",2018-10-25,206,206
"Foamy Cave","Lawnmower Lager",2018-10-25,233,233
"Hypnotic Gate Tavern","Emerald Ale",2018-10-25,235,235
"Thundering Table Inn","Amstel Bright",2018-10-25,231,231
"Jealous Fiddle Pub","Holiday Trappist Style Ale",2018-10-25,232,232
"Rainy Lime Tavern","Telford Porter",2018-10-25,229,229
"Admiral Benbow Inn","Code Blue",2018-10-25,230,230
"Outrageous Sailboat Inn","Caldera Ginger Beer",2018-10-25,181,181
"Scary Kiwi","The Highland Stagger",2018-10-25,136,136
"Little Elixir Club","Blue Whale Ale",2018-10-25,187,187
"Courageous Lyre Bar","Pumpkin Ale",2018-10-25,203,203
"Steel Elf","Kirner Pils Premium",2018-10-25,158,158
"Interesting Trumpet Inn","Nut Brown",2018-10-25,181,181
"Wretched Grape Inn","Deviator Doppelbock",2018-10-25,208,208
"Natural Leopard","The Captain's Porter",2018-10-25,233,233
"Venomous River Inn","Welsh Honey Bitter",2018-10-25,156,156
"Iron Turkey",Hefeweizen,2018-10-25,158,158
"Oceanic Woodpecker Inn","Cauldron Brew",2018-10-25,236,236
"Sweet And Sour Castle Bar","Old Growth Imperial Stout",2018-10-25,151,151
"Dizzy Lemon Lounge","St. Stephen's Bock",2018-10-25,209,209
"Brave Olive Pub","The Captain's Porter",2018-10-25,230,230
"Hot Cup Inn","Cauldron DIPA",2018-10-25,208,208
"Lying Explorer Tavern","North Beach Ale",2018-10-25,204,204
"Nifty Branch Inn","Cauldron Brew",2018-10-25,158,158
"Hidden Table Brewpub","Kirner Pils Premium",2018-10-25,182,182
"Awful Salmon Bar","Kirner Pils Premium",2018-10-25,209,209
"Psychotic Seadog","Honey Fayre",2018-10-25,131,131
"Safe Palm Inn","Welsh Pride",2018-10-25,233,233
"Smelly Crane Tavern","Swamp Fox IPA",2018-10-25,208,208
"Empty Snapdragon Pub","Viven Porter",2018-10-25,183,183
"Dandy Cloud Bistro","Pacific Pilsner",2018-10-25,137,137
"Deep Lantern","Welsh Honey Bitter",2018-10-25,159,159
"Ugliest Pants Tavern","Imperial Stout",2018-10-25,207,207
"Gypsy Root Roadhouse","Kirner Pils Premium",2018-10-25,131,131
"Needy Mind Tavern","Pumpkin Ale",2018-10-25,129,129
"Perfect Rabbit Tavern","Caldera Oatmeal Stout",2018-10-25,211,211
"Fascinated Chick Pub","Kirner Pils Premium",2018-10-25,230,230
"Chubby Badger Pub","Code Blue",2018-10-25,210,210
"Spicy Cats Tavern","Pilot Rock Porter",2018-10-25,176,176
"Rich Tauren Bar",Megalodon,2018-10-25,209,209
"Foamy Cave","Schinderhannes Bock",2018-10-25,154,154
"Armed Pudding Bar","Imperial Stout",2018-10-25,188,188
"Hypnotic Gate Tavern","Welsh Pride",2018-10-25,227,227
"Jealous Fiddle Pub","Imperial Stout",2018-10-25,209,209
"Rainy Lime Tavern","The Captain's Porter",2018-10-25,204,204
"Thundering Table Inn","Emerald Ale",2018-10-25,135,135
"Admiral Benbow Inn","Caldera Ginger Beer",2018-10-25,234,234
"Outrageous Sailboat Inn","Nut Brown",2018-10-25,181,181
"Shattered Oak","Ballz Deep Double IPA",2018-10-25,182,182
"Courageous Lyre Bar","Swamp Fox IPA",2018-10-25,233,233
"Interesting Trumpet Inn","Leviathan Imperial Stout",2018-10-25,185,185
"Little Elixir Club","Dry Hop Red",2018-10-25,161,161
"Steel Yew","Swamp Fox IPA",2018-10-25,207,207
"Natural Leopard","Kirner Pils Premium",2018-10-25,135,135
"Wretched Grape Inn","Hop Hash",2018-10-25,160,160
"Oceanic Woodpecker Inn","North Beach Ale",2018-10-25,157,157
"Double Swan Tavern","The Highland Stagger",2018-10-25,185,185
"Venomous River Inn",Hefeweizen,2018-10-25,234,234
"Itchy Cheetah Bar","Telford Porter",2018-10-25,158,158
"Sweet And Sour Castle Bar","Hop Hash",2018-10-25,234,234
"Brave Olive Pub","Old Oakland Ale",2018-10-25,206,206
"Hot Cup Inn","Imperial Stout",2018-10-25,234,234
"Nifty Branch Inn","Old Growth Imperial Stout",2018-10-25,183,183
"Lying Explorer Tavern","Old Oakland Ale",2018-10-25,203,203
"Psychotic Seadog","Schinderhannes Bock",2018-10-25,161,161
"Hidden Table Brewpub","St. Stephen's Bock",2018-10-25,207,207
"Awful Salmon Bar","Cauldron DIPA",2018-10-25,210,210
"Safe Palm Inn",Megalodon,2018-10-25,182,182
"Smelly Crane Tavern","Ashland Amber",2018-10-25,189,189
"Empty Snapdragon Pub","Holiday Trappist Style Ale",2018-10-25,182,182
"Needy Mind Tavern","Amstel Lager",2018-10-25,157,157
"Dandy Cloud Bistro","Celebration Ale",2018-10-25,154,154
"Deep Lantern","Ballz Deep Double IPA",2018-10-25,157,157
"Pleasant Parrot Tavern","Leviathan Imperial Stout",2018-10-25,231,231
"Ugliest Pants Tavern","Schinderhannes Bock",2018-10-25,129,129
"Gypsy Root Roadhouse","Inspiration Ale",2018-10-25,183,183
"Chubby Badger Pub","Old Oakland Ale",2018-10-25,231,231
"Fascinated Demon Pub","Newark IPA",2018-10-25,227,227
"Full Guitar","Blue Whale Ale",2018-10-25,136,136
"Rich Tauren Bar","Welsh Pride",2018-10-25,180,180
"Spicy Cats Tavern","Amstel Malt",2018-10-25,232,232
"Hypnotic Gate Tavern","Caldera Pilsener Bier",2018-10-25,205,205
"Armed Pudding Bar","Blue Whale Ale",2018-10-25,231,231
"Keen Snail Bar","Nut Brown",2018-10-25,207,207
"Admiral Benbow Inn","Coconut Porter",2018-10-25,131,131
"Thundering Table Inn","Caldera Ginger Beer",2018-10-25,131,131
"Outrageous Sailboat Inn","Imperial Stout",2018-10-25,135,135
"Rainy Lime Tavern","Dry Stout",2018-10-25,159,159
"Shattered Oak","Kirner Pils Premium",2018-10-25,236,236
"Steel Yew","Coconut Porter",2018-10-25,210,210
"Courageous Lyre Bar",Hefeweizen,2018-10-25,131,131
"Interesting Trumpet Inn","Pumpkin Ale",2018-10-25,232,232
"Natural Leopard","Grey Whale Ale",2018-10-25,183,183
"Little Elixir Club","Caldera Pale Ale",2018-10-25,140,140
"Wretched Grape Inn","Amstel Gold",2018-10-25,136,136
"Sweet And Sour Castle Bar","Kirner Pils Premium",2018-10-25,132,132
"Venomous River Inn","Amstel Bock",2018-10-25,183,183
"Oceanic Woodpecker Inn","Grey Whale Ale",2018-10-25,209,209
"Double Swan Tavern","Sausa Pils",2018-10-25,183,183
"Itchy Cheetah Bar","Amstel Bock",2018-10-25,237,237
"Hot Cup Inn","Pacific Pilsner",2018-10-25,237,237
"Busy Bachelor Bar","Dry Hop Red",2018-10-25,178,178
"Nimble Squash",Megalodon,2018-10-25,156,156
"Lying Explorer Tavern","Schinderhannes Bock",2018-10-25,178,178
"Hidden Table Brewpub","Welsh Pride",2018-10-25,207,207
"Best Stick Tavern","Pacific Pilsner",2018-10-25,211,211
"Psychotic Seadog","Caldera IPA",2018-10-25,204,204
"Safe Palm Inn","Hibiscus Ginger Beer",2018-10-25,152,152
"Dandy Cloud Bistro","Yellowjacket Ale",2018-10-25,206,206
"Smelly Crane Tavern","Ballz Deep Double IPA",2018-10-25,186,186
"Ugliest Pants Tavern","Inspiration Ale",2018-10-25,177,177
"Empty Snapdragon Pub","Amstel Lentebock",2018-10-25,205,205
"Nervous Jaguar Inn","Amstel Light",2018-10-25,205,205
"Deep Lantern","Swamp Fox IPA",2018-10-25,155,155
"Gypsy Root Roadhouse","Dry Hop Orange",2018-10-25,156,156
"Pleasant Parrot Tavern","Holiday Imperial",2018-10-25,202,202
"Full Guitar","Holiday Imperial",2018-10-25,206,206
"Fascinated Demon Pub","Caldera IPA",2018-10-25,157,157
"Chubby Badger Pub","Leviathan Imperial Stout",2018-10-25,157,157
"Spicy Cats Tavern","Amstel Oud Bruin",2018-10-25,205,205
"Hypnotic Gate Tavern","Amstel Malt",2018-10-25,132,132
"Assorted Dandelion Bar","Inspiration Ale",2018-10-25,183,183
"Rich Tauren Bar","Ballz Deep Double IPA",2018-10-25,181,181
"Keen Snail Bar","Holiday Ale",2018-10-25,209,209
"Admiral Benbow Inn",Hefeweizen,2018-10-25,156,156
"Thundering Table Inn","Pacific Pilsner",2018-10-25,228,228
"Overrated Pigeons Pub","Amstel Lentebock",2018-10-25,184,184
"Rainy Lime Tavern","Dry Hop Orange",2018-10-25,133,133
"Shattered Oak","Amstel Lentebock",2018-10-25,134,134
"Interesting Trumpet Inn","Sausa Pils",2018-10-25,158,158
"Steel Yew","Columbus India Pale Ale",2018-10-25,160,160
"Courageous Lyre Bar","Dry Stout",2018-10-25,226,226
"Little Elixir Club","Yellowjacket Ale",2018-10-25,233,233
"Natural Leopard","Lawnmower Lager",2018-10-25,210,210
"Wretched Grape Inn","Lawnmower Lager",2018-10-25,132,132
"Sweet And Sour Castle Bar","Black Horse Black Beer",2018-10-25,159,159
"Hot Cup Inn","Old Growth Imperial Stout",2018-10-25,186,186
"Double Swan Tavern","Schinderhannes Bock",2018-10-25,183,183
"Oceanic Woodpecker Inn","Red Moon",2018-10-25,130,130
"Itchy Cheetah Bar","Southside Strong",2018-10-25,235,235
"Venomous River Inn","Dry Stout",2018-10-25,163,163
"Busy Bachelor Bar","Holiday Imperial",2018-10-25,234,234
"Magnificent Dark Elf Bar","Holiday Trappist Style Ale",2018-10-25,206,206
"Nimble Squash","Vas Deferens Ale",2018-10-25,233,233
"Hidden Table Brewpub","Celebration Ale",2018-10-25,158,158
"Best Stick Tavern","Coconut Porter",2018-10-25,164,164
"Psychotic Seadog","Holiday Imperial",2018-10-25,134,134
"Smelly Crane Tavern","Amstel Bright",2018-10-25,156,156
"Safe Palm Inn","Telford Porter",2018-10-25,154,154
"Dandy Cloud Bistro","Old Oakland Ale",2018-10-25,184,184
"Nervous Jaguar Inn","Imperial Stout",2018-10-25,183,183
"Empty Snapdragon Pub","Hopportunity Knocks",2018-10-25,131,131
"Ugliest Pants Tavern","Dry Hop Red",2018-10-25,157,157
"Deep Lantern","Lawnmower Lager",2018-10-25,180,180
"Pleasant Parrot Tavern","Holiday Ale",2018-10-25,183,183
"Gypsy Root Roadhouse","Grey Whale Ale",2018-10-25,238,238
"Full Guitar","Pilot Rock Porter",2018-10-25,212,212
"Fascinated Demon Pub","Sausa Pils",2018-10-25,213,213
"Icky Elephants Tavern","Telford Porter",2018-10-25,157,157
"Spicy Cats Tavern","Nut Brown",2018-10-25,165,165
"Assorted Dandelion Bar","Leviathan Imperial Stout",2018-10-25,236,236
"Chunky Hawks Tavern",Hefeweizen,2018-10-25,151,151
"Russian Otter Pub","Nut Brown",2018-10-25,235,235
"Admiral Benbow Inn","Vas Deferens Ale",2018-10-25,127,127
"Keen Snail Bar","Caldera Oatmeal Stout",2018-10-25,132,132
"Overrated Pigeons Pub","Swamp Fox IPA",2018-10-25,158,158
"Thundering Table Inn","Caldera IPA",2018-10-25,183,183
"Shattered Oak","Columbus India Pale Ale",2018-10-25,231,231
"Rainy Lime Tavern","Caldera IPA",2018-10-25,159,159
"Iron Library Tavern","Honey Fayre",2018-10-25,208,208
"Courageous Melon","Holiday Imperial",2018-10-25,165,165
"Steel Yew","Hibiscus Ginger Beer",2018-10-25,158,158
"Lively Elf","Caldera Pale Ale",2018-10-25,181,181
"Wretched Grape Inn","Yellowjacket Ale",2018-10-25,127,127
"Sweet And Sour Castle Bar","Red Moon",2018-10-25,154,154
"Double Swan Tavern","Welsh Honey Bitter",2018-10-25,133,133
"Itchy Cheetah Bar","Hopportunity Knocks",2018-10-25,230,230
"Oceanic Woodpecker Inn","Emerald Ale",2018-10-25,234,234
"Wicked Stream","Caldera Pale Ale",2018-10-25,178,178
"Hot Cup Inn","Sausa Pils",2018-10-25,131,131
"Natural Squash Tavern","Pacific Pilsner",2018-10-25,133,133
"Busy Bachelor Bar","Southside Strong",2018-10-25,184,184
"Nimble Squash","Hop Hash",2018-10-25,129,129
"Magnificent Dark Elf Bar","Hopportunity Knocks",2018-10-25,159,159
"Best Stick Tavern","Inspiration Ale",2018-10-25,231,231
"Psychotic Seadog","Leviathan Imperial Stout",2018-10-25,129,129
"Smelly Crane Tavern","Welsh Pride",2018-10-25,178,178
"Empty Snapdragon Pub","Amstel Oud Bruin",2018-10-25,134,134
"Hidden Table Brewpub","The Captain's Porter",2018-10-25,131,131
"Safe Palm Inn","Lawnmower Lager",2018-10-25,158,158
"Ugliest Pants Tavern","Amstel Light",2018-10-25,185,185
"Nervous Jaguar Inn","Old Oakland Ale",2018-10-25,155,155
"Diamond Turtle Inn","Welsh Honey Bitter",2018-10-25,154,154
"Pleasant Parrot Tavern","Pilot Rock Porter",2018-10-25,179,179
"Gypsy Root Roadhouse","Telford Porter",2018-10-25,182,182
"Dandy Cloud Bistro","Caldera Oatmeal Stout",2018-10-25,206,206
"Full Guitar","Amstel Lager",2018-10-25,159,159
"Spicy Cats Tavern","Ashland Amber",2018-10-25,206,206
"Assorted Dandelion Bar","Old Growth Imperial Stout",2018-10-25,188,188
"Icky Elephants Tavern","Killer Whale Stout",2018-10-25,154,154
"Fascinated Demon Pub","North Beach Ale",2018-10-25,186,186
"Amused Lemon Parlor","Amstel Light",2018-10-25,203,203
"Chunky Hawks Tavern","Killer Whale Stout",2018-10-25,135,135
"Russian Otter Pub","Grey Whale Ale",2018-10-25,206,206
"Keen Snail Bar","Inspiration Ale",2018-10-25,185,185
"Thundering Table Inn","Pumpkin Ale",2018-10-25,228,228
"Overrated Pigeons Pub","Caldera IPA",2018-10-25,183,183
"Iron Library Tavern","Swamp Fox IPA",2018-10-25,203,203
"Shattered Oak","Amstel Oud Bruin",2018-10-25,210,210
"Rainy Lime Tavern","Honey Fayre",2018-10-25,134,134
"Courageous Melon","Hibiscus Ginger Beer",2018-10-25,234,234
"Steel Yew","Old Growth Imperial Stout",2018-10-25,154,154
"Lively Elf","Code Blue",2018-10-25,138,138
"Double Swan Tavern","Grey Whale Ale",2018-10-25,159,159
"Organic Buffalo Bar","Caldera Pilsener Bier",2018-10-25,234,234
"Itchy Cheetah Bar","Caldera Oatmeal Stout",2018-10-25,156,156
"Swift Angels Pub","Holiday Trappist Style Ale",2018-10-25,156,156
"Wretched Grape Inn","Red Moon",2018-10-25,164,164
"Natural Squash Tavern","Amstel Lentebock",2018-10-25,157,157
"Wicked Stream","Hopportunity Knocks",2018-10-25,213,213
"Busy Bachelor Bar","Yellowjacket Ale",2018-10-25,132,132
"Hungry Skunks Bar","Hopportunity Knocks",2018-10-25,210,210
"Nimble Squash","Black Horse Black Beer",2018-10-25,134,134
"Magnificent Dark Elf Bar","Code Blue",2018-10-25,208,208
"Best Stick Tavern","Amstel Bright",2018-10-25,213,213
"Smelly Crane Tavern","Emerald Ale",2018-10-25,235,235
"Psychotic Seadog","Old Growth Imperial Stout",2018-10-25,182,182
"Empty Snapdragon Pub",Megalodon,2018-10-25,205,205
"Ugliest Pants Tavern","Caldera Pilsener Bier",2018-10-25,207,207
"Hidden Table Brewpub","Amstel Oud Bruin",2018-10-25,158,158
"Nervous Jaguar Inn","Deviator Doppelbock",2018-10-25,133,133
"Safe Palm Inn","Caldera IPA",2018-10-25,235,235
"Pleasant Parrot Tavern","Southside Strong",2018-10-25,179,179
"Gypsy Root Roadhouse","Cauldron DIPA",2018-10-25,177,177
"Diamond Turtle Inn","Nut Brown",2018-10-25,210,210
"Assorted Dandelion Bar","Welsh Pride",2018-10-25,181,181
"Full Guitar","Cauldron Espresso Stout",2018-10-25,185,185
"Deep Flute Bar","Viven Porter",2018-10-25,234,234
"Spicy Cats Tavern","Leviathan Imperial Stout",2018-10-25,156,156
"Amused Lemon Parlor","Deviator Doppelbock",2018-10-25,187,187
"Icky Elephants Tavern","Red Moon",2018-10-25,187,187
"Russian Otter Pub","Ashland Amber",2018-10-25,156,156
"Fascinated Demon Pub","St. Stephen's Bock",2018-10-25,157,157
"Chunky Hawks Tavern","Ballz Deep Double IPA",2018-10-25,201,201
"Keen Snail Bar","Amstel Malt",2018-10-25,233,233
"Thundering Table Inn","Kirner Pils Premium",2018-10-25,233,233
"Iron Library Tavern","The Captain's Porter",2018-10-25,162,162
"Overrated Pigeons Pub","Lawnmower Lager",2018-10-25,211,211
"Rainy Lime Tavern","Emerald Ale",2018-10-25,129,129
"Shattered Oak","Holiday Trappist Style Ale",2018-10-25,182,182
"Courageous Melon",Hefeweizen,2018-10-25,210,210
"Sudden Dragon Bar","Nut Brown",2018-10-25,230,230
"Drab Parrots Pub","Welsh Honey Bitter",2018-10-25,128,128
"Lively Elf","Holiday Imperial",2018-10-25,133,133
"Organic Buffalo Bar","Leviathan Imperial Stout",2018-10-25,158,158
"Natural Squash Tavern","Emerald Ale",2018-10-25,130,130
"Itchy Cheetah Bar","Old Oakland Ale",2018-10-25,237,237
"Wretched Grape Inn","Inspiration Ale",2018-10-25,156,156
"Swift Angels Pub","North Beach Ale",2018-10-25,139,139
"Wicked Stream","Grey Whale Ale",2018-10-25,185,185
"Busy Bachelor Bar","Swamp Fox IPA",2018-10-25,231,231
"Nimble Squash","The Highland Stagger",2018-10-25,184,184
"Hungry Skunks Bar","Amstel Lager",2018-10-25,157,157
"Best Stick Tavern","Dry Hop Orange",2018-10-25,206,206
"Hissing Ocean Bar","Newark IPA",2018-10-25,209,209
"Magnificent Dark Elf Bar","Grey Whale Ale",2018-10-25,159,159
"Snobbish Jackal Inn","Viven Porter",2018-10-25,184,184
"Psychotic Seadog","Cauldron DIPA",2018-10-25,178,178
"Empty Snapdragon Pub","Yellowjacket Ale",2018-10-25,238,238
"Ugliest Pants Tavern","Vas Deferens Ale",2018-10-25,158,158
"Nervous Jaguar Inn","Dry Hop Red",2018-10-25,232,232
"Safe Palm Inn","Welsh Honey Bitter",2018-10-25,179,179
"Pleasant Parrot Tavern","Amstel Lentebock",2018-10-25,163,163
"Gypsy Root Roadhouse","Welsh Honey Bitter",2018-10-25,183,183
"Full Guitar","Old Growth Imperial Stout",2018-10-25,230,230
"Diamond Turtle Inn","Cauldron Espresso Stout",2018-10-25,237,237
"Assorted Dandelion Bar","Amstel Malt",2018-10-25,132,132
